file,filename,num_tracks,total_notes,programs,tempos,time_signatures,key_signatures,duration_secs
..\..\data\myanelzr.mid,myanelzr.mid,3,1063,"{0, 73}",75.0,2/4,C,131.00833333333333
..\..\data\nappylee.mid,nappylee.mid,2,2169,{0},86.40005529603539,2/4,G,299.0083333333333
..\..\data\newera.mid,newera.mid,2,2627,{0},88.00002346667293,2/4,F,276.0083333333333
..\..\data\newrag.mid,newrag.mid,2,2603,{0},89.9999550000225,2/4,C,313.0083333333333
..\..\data\niagara.mid,niagara.mid,2,1410,{0},115.65997509455202,2/4,Bb,181.15
..\..\data\nonparel.mid,nonparel.mid,2,2810,{0},75.5999803440051,2/4,Bb,270.55
..\..\data\nothingd.mid,nothingd.mid,2,1617,{0},92.39995010402694,2/4,C,126.26666666666667
..\..\data\novelty.mid,novelty.mid,2,2339,{0},90.31995845281911,2/4,Ab,240.51666666666668
..\..\data\ntoerag.mid,ntoerag.mid,2,1872,{0},96.0,2/4,F,263.59166666666664
..\..\data\oldcrow.mid,oldcrow.mid,2,1813,{0},97.90004405501982,2/4,G,238.23333333333332
..\..\data\oldvarag.mid,oldvarag.mid,2,1126,{0},80.99997165000993,2/4,Eb,182.00833333333333
..\..\data\olevabbq.mid,olevabbq.mid,2,2424,{0},88.00002346667293,2/4,Bb,332.0083333333333
..\..\data\oneasyst.mid,oneasyst.mid,2,2203,{0},93.99998120000376,2/4,G,308.0083333333333
..\..\data\oneothem.mid,oneothem.mid,2,1722,{0},85.00004250002125,2/4,C,242.00833333333333
..\..\data\onthpike.mid,onthpike.mid,2,2204,{0},94.99999208333399,2/4,C,300.0083333333333
..\..\data\operatic.mid,operatic.mid,2,2006,{0},96.31004128490436,2/4,F,292.1333333333333
..\..\data\ophelia.mid,ophelia.mid,2,2032,{0},77.99997660000702,2/4,C,245.00833333333333
..\..\data\original.mid,original.mid,2,2991,{0},91.99998773333498,2/4,G,379.0083333333333
..\..\data\oyoudevl.mid,oyoudevl.mid,2,2205,{0},173.99979120025057,4/4,C,643.0083333333333
..\..\data\palmleaf.mid,palmleaf.mid,2,1983,{0},80.0,2/4,Bb,276.01666666666665
..\..\data\panama.mid,panama.mid,2,1805,{0},98.06998273968304,2/4,C,268.06666666666666
..\..\data\paragon.mid,paragon.mid,2,2805,{0},78.74997539063268,2/4,G,302.55
..\..\data\paramont.mid,paramont.mid,2,2458,{0},91.99998773333498,2/4,Ab,318.01666666666665
..\..\data\pastime1.mid,pastime1.mid,2,2034,{0},74.22004015304172,2/4,C,212.01666666666668
..\..\data\pastime2.mid,pastime2.mid,3,1933,{0},83.99996640001343,2/4,Bb,269.0083333333333
..\..\data\pastime3.mid,pastime3.mid,2,2760,{0},52.000006933334255,2/4,Bb,283.0083333333333
..\..\data\pastime4.mid,pastime4.mid,2,2226,{0},75.5999803440051,2/4,F,201.75833333333333
..\..\data\pastime5.mid,pastime5.mid,2,2811,{0},83.99996640001343,2/4,G,266.0083333333333
..\..\data\patricia.mid,patricia.mid,2,2440,{0},85.79002605157125,2/4,Eb,308.01666666666665
